article_title	article_author	article_publication_date	article_content
Video Jokowi-Prabowo Makan Bareng: Dari Ngobrolin Bakso hingga Negara	20Detik - 20DETIK	10,738 Views | Rabu, 09 Okt 2024 13:32 WIB	Presiden Joko Widodo (Jokowi) makan berdua bersama Presiden terpilih Prabowo Subianto di Plataran GBK, Selasa (8/10) malam. Jokowi dan Prabowo sebelumnya sering makan bersama. Simak momen-momennya.
Jokowi Dapat Rumah Pensiun dari Negara, Bisa Langsung Dipakai?	Herdi Alif Al Hikam - detikFinance	Selasa, 08 Okt 2024 17:18 WIB	"Presiden Joko Widodo (Jokowi) bakal mendapatkan rumah dari negara usai purna tugas di 20 Oktober 2024 mendatang. Pemberian rumah bagi mantan Presiden dan Wakil Presiden sendiri diatur dalam Peraturan Presiden (Perpres) Nomor 52 Tahun 2014 tentang Pengadaan dan Standar Rumah bagi Mantan Presiden dan/atau Mantan Wakil Presiden Republik Indonesia.
Lantas apakah rumah hadiah dari negara bisa langsung ditinggali Jokowi dalam waktu dekat?
Menteri Sekretariat Negara Pratikno menyebutkan sejauh ini rumah untuk Jokowi kemungkinan belum bisa ditempati usai purna tugas di 20 Oktober 2024. Sebab, saat ini rumah tersebut masih sedang dibangun.
""Kelihatannya belum (bisa ditinggali). Karena seharusnya itu kan pembangunan rumah dari negara kepada calon mantan presiden dan calon wakil presiden itu sudah lama harusnya, tapi Pak Presiden Jokowi 'nggak nggak, nanti aja, nanti aja,' begitu terus,"" ujar Pratikno saat berbincang dengan wartawan di kompleks Istana Kepresidenan, Jakarta Pusat, Selasa (8/10/2024).
Menurut Pratikno, Jokowi memang baru beberapa waktu ini menaruh perhatian kepada rumah hadiah negara. Dia bilang Jokowi sedikit telat untuk menentukan letak rumahnya, maka dari itu pembangunannya pun sampai saat ini belum selesai.
Dia menjelaskan, Kemensetneg sendiri sudah menawarkan Jokowi rumah hadiahnya untuk dibangun sejak tahun ketiga menjabat, baik di periode pertama maupun keduanya menjabat. Namun, Jokowi selalu mengundur-undur urusan rumah itu.
""Itu sejak akhir periode pertama, di tahun ketiga itu Kementerian Sekretariat Negara sudah menawarkan, berkewajiban untuk menawarkan ini rumah dari negara ini akan dimana dan lain-lain. Tapi beliau mengatakan tidak terus. Sampai masuk periode kedua, di tahun ketiga Kementerian Sekretaris Negara juga berkewajiban untuk menyampaikan, bagaimana ini, berkenan di mana dan seterusnya,"" ungkap Pratikno.
Dia menekankan pembangunan rumah hadiah untuk Jokowi yang nantinya menjadi mantan presiden adalah kewajiban bagi negara.
""Nah ini kewajiban negara ya, kewajiban negara. Tapi beliau enggak-enggak, enggak-enggaknya itu akhirnya sekarang belum jadi itu. Jadi mulainya tertunda, terlambat karena keinginan beliau,"" beber Pratikno.
Rumah hadiah buat Jokowi sendiri dibangun di di tepi Jalan Adi Sucipto, Desa Blulukan, Kecamatan Colomadu, Kabupaten Karanganyar, Jawa Tengah.
Dari pemberitaan detikJateng, pembangunan rumah tersebut berlangsung sejak Juni 2024. Per akhir September, setelah tiga bulan pengerjaan, nampak sebuah bangunan bertingkat sudah berdiri.
Diberitakan sebelumnya, lahan seluas 12.000 m2 itu sebelumnya adalah milik dua orang. Kepala Desa Blulukan, Slamet Wiyono, mengatakan dari 12.000 m2 lahan tersebut, sekitar 9.000 m2 adalah milik bos PO Rosalia Indah, Yustinus Soeroso. Adapun lahan sisanya milik seseorang bernama Joko Wiyono.
Jokowi sendiri yang memilih lokasi rumah tersebut. Rumah itu nantinya bisa langsung ditinggali Jokowi dan keluarganya, rumah juga bisa diwarisi ke ahli waris yang ditunjuk Jokowi."
Video Muzani soal Pertemuan Jokowi-Prabowo: Cerita Suka Duka	Fandi Akbar - 20DETIK	6,971 Views | Kamis, 10 Okt 2024 06:37 WIB	Sekjen Partai Gerindra Ahmad Muzani berbicara pertemuan antara Presiden RI Joko Widodo dengan presiden terpilih Prabowo Subianto. Muzani mengatakan pertemuan itu berisi obrolan biasa.
Bahlil Terima Kasih ke Jokowi: 3 Kali Dilantik dan Jadi 'Warna Kuning'	Eva Safitri - detikNews	Kamis, 10 Okt 2024 21:04 WIB	"Menteri ESDM Bahlil Lahadalia berterima kasih kepada Presiden Joko Widodo (Jokowi) karena tiga kali dia dilantik menduduki jabatan di pemerintahan. Selain itu, Bahlil juga mengungkit dirinya dilantik dengan 'warna kuning'.
Hal tersebut diungkap Bahlil dalam acara HUT Pertambangan dan Energi di Hotel Kempinski, Jakarta Pusat, Kamis (10/10/2024). Bahlil awalnya menyebutkan Kementerian ESDM selama ini sudah melakukan program yang diarahkan Jokowi.
""Bapak Presiden, kami laporkan bahwa hari ini adalah puncak dari pada HUT di mana Penganugerahan Subotro ini yang ke-7, Pak, dan saya pikir semuanya sudah melakukan apa yang kami programkan, ke depan apa yang jadi arahan Bapak Presiden terkait dengan transisi energi terkait dengan proses hilirisasi akan selalu jadi pegangan bagi kami,"" kata Bahlil.
Bahlil lantas mengucapkan terima kasihnya secara pribadi kepada Jokowi. Ia berterima kasih karena sudah 3 kali dilantik untuk menduduki tiga jabatan di pemerintahan era Jokowi.
Adapun tiga jabatan yang pernah dijabat Bahlil di pemerintahan era Jokowi, yakni Kepala BKPM, Menteri Investasi, dan Menteri ESDM.
""Secara pribadi saya Bapak Presiden mengucapkan terima kasih karena di zaman bapak memimpin bangsa ini. Saya 3 kali dilantik oleh Bapak, saya dilantik pertama jadi Kepala BKPM, jadi jabatan saya di pemerintah bertahap juga, belum langsung menteri, masih Kepala BKPM, abis itu lantik kedua jadi Menteri Investasi dan abis itu pelantikan ketiga jadi Menteri ESDM,"" ucap Bahlil.
Selain itu, Bahlil menyinggung bahwa di era yang sama dia juga dilantik menjadi 'warna kuning'. Warna kuning yang dimaksud adalah Bahlil kini menjadi Ketum Golkar.
""Dan saya terima kasih, Pak, dalam proses bulan Agustus kemaren selain 3 kali pelantikan, saya juga dilantik dengan warna kuning, karena itu terima kasih,"" imbuhnya."
Usai Lengser, Jokowi Pulang ke Solo Naik Pesawat Komersial	Herdi Alif Al Hikam - detikFinance	Selasa, 08 Okt 2024 16:59 WIB	"Presiden Joko Widodo (Jokowi) dikabarkan bakal menggunakan penerbangan komersial seperti masyarakat umum saat kembali ke Solo, Jawa Tengah, ketika sudah purna tugas. Rencananya, usai pelantikan Prabowo Subianto sebagai presiden selesai, Jokowi akan langsung kembali ke kampung halamannya.
Hal ini dibenarkan oleh Menteri Sekretaris Negara (Mensetneg) Pratikno. Menurutnya, kepulangan Jokowi dengan penerbangan komersial sudah disiapkan.
Sayangnya, Pratikno enggan mengelaborasi pesawat apa yang bakal digunakan Jokowi termasuk apakah Jokowi akan naik kelas bisnis atau ekonomi. Yang jelas, Jokowi akan pulang kampung tanpa fasilitas negara usai purna tugas.
""Nanti kita atur, jadi pokoknya komersil juga sudah siap,"" ujar Pratikno saat berbincang dengan wartawan di kompleks Istana Kepresidenan, Jakarta Pusat, Selasa (8/10/2024).
Soal fasilitas negara yang masih bisa digunakan Jokowi, Pratikno menjelaskan Jokowi masih bisa mendapatkan pengamanan dari Pasukan Pengamanan Presiden (Paspampres). Aturannya menjelaskan seorang mantan presiden masih bisa mendapatkan pengamanan dari Paspampres.
""Kita ikuti aturan keprotokoleran lah ya. Ya, kan Presiden sebagai mantan Presiden kan tetap berhak untuk memperoleh dukungan pengamanan, ya Paspampres dan sebagainya, dan ada grup tersendiri untuk mantan Presiden dan Paspampres,"" papar Pratikno.
Pratikno pun menyebut Jokowi sudah mulai berkemas barang jelang pelantikan Prabowo di 20 Oktober. Kemas-kemas dilakukan Jokowi untuk barang-barang yang ada. di Istana Jakarta maupun di Istana Bogor.
""Aduh, packing 'pening kepala' katanya. Sudah packing, sudah mulai packing,"" kata Pratikno.

Simak Video Pernyataan Jokowi: Tanggal 20 Oktober Sore Saya Pulang ke Solo, Tidur

[Gambas:Video 20detik]"
Isu Jokowi Tolak PDIP Masuk Pemerintahan Prabowo Direspons Gerindra	Wasti Samaria - detikSumbagsel	Selasa, 08 Okt 2024 19:00 WIB	
Kelakar Pratikno Minta Koleksi Batik Jokowi Saat Berkemas: Belum Dikasih	Eva Safitri - detikNews	Selasa, 08 Okt 2024 16:56 WIB	"Mensesneg Pratikno berkelakar meminta koleksi batik saat Presiden Joko Widodo (Jokowi) berkemas. Namun dia mengaku belum dikasih oleh Jokowi.
Hal itu diungkap Pratikno saat menceritakan bahwa Jokowi sudah mulai berkemas menjelang pensiun pada 20 Oktober mendatang. Pratikno menyebutkan barang yang dikemas itu, yakni foto, buku, hingga berbagai macam barang lain.
""Banyak, ada foto, ada buku, ada segala macam kan,"" kata Pratikno kepada wartawan di Kompleks Istana Negara, Jakarta, Selasa (8/10/2024).
Pratikno lantas menceritakan bahwa dirinya sempat meminta koleksi batik Jokowi. Menurutnya, Jokowi banyak sekali memiliki batik karena selalu menggunakan batik berbeda di setiap acara.
""Saya aja minta sama Presiden, itu koleksi Bapak batik bagus-bagus, saya lihat di setiap acara batiknya Pak Presiden itu kan relatif sering ganti ya, saya juga berminat, Pak, saya minta satu,"" ujarnya.
Namun, saat ditanya apakah sudah dikasih, Pratikno menjawab belum. Hal itu memicu tawa para wartawan di lokasi.
""Belum,"" kata Pratikno.
Sebelumnya, Pratikno mengungkap Jokowi sudah mulai berkemas menjelang pensiun. Tidak dirinci sejak kapan Jokowi berkemas. Ia mengatakan barang yang dikemas dikirim ke Solo.
""Ya namanya kan pindah,"" ujar Pratikno saat ditanya sejak kapan Jokowi berkemas.
""(Dikirim) ke Solo,"" lanjut Pratikno."
Habiburokhman Puji Kapolri Serius Tindak Judol: Sesuai Arahan Jokowi	Gibran Maulana - detikNews	Selasa, 08 Okt 2024 18:51 WIB	"Anggota DPR RI Habiburokhman mengapresiasi pemberantasan sindikat judi online yang dikendalikan WN China dengan perputaran uang mencapai Rp 685 miliar. Habiburokhman memuji Kapolri Jenderal Listyo Sigit yang bertindak sudah sesuai arahan Presiden Joko Widodo (Jokowi).
""Kami acungi jempol Polri yang tindak tegas judi online. Ini adalah implementasi tekad Kapolri Pak Sigit yang akan serius habisi judi online,"" kata Habiburokhman kepada wartawan, Selasa (8/1/2024).
Wakil Ketua Komisi III DPR RI 2019-2024 ini berharap penindakan terhadap judi online akan terus berlanjut. Dia menyebut judi online meresahkan masyarakat.
""Bandar-bandar dan siapa pun yang terlibat harus dimintai pertanggungjawaban secara hukum. Judi online sudah sangat meresahkan masyarakat dan mengganggu perekonomian negara,"" ujarnya.
Habiburokhman menegaskan penindakan ini sudah sesuai dengan arahan Presiden Jokowi. Jokowi, menurut dia, tidak menoleransi judi online atau judol.
""Ini sudah sesuai arahan Presiden Jokowi yang tidak beri toleransi sama sekali terhadap judi online,"" ujar Habiburokhman.
Dirtipidsiber Bareskrim Polri Brigjen Himawan Bayu Aji menyampaikan, pihaknya mulai membongkar situs judi online SLOT8278 pada 1 Oktober. Situs memiliki server di China.
""Selain beroperasi di Indonesia, website tersebut membuka pasar di negara Asia lainnya, seperti Thailand, Kamboja, Malaysia, Vietnam. Namun secara aktif menargetkan pasar Indonesia dengan jumlah pemain mencapai 85 ribu orang,"" kata Himawan saat jumpa pers di Mabes Polri, Jakarta Selatan, Selasa (8/10).
Himawan mengatakan modus operandi yang dilakukan adalah memanfaatkan penyedia jasa pembayaran serta rekening bank yang berada di Indonesia untuk melakukan deposit dan withdraw.
Himawan menyebutkan situs SLOT8278 beroperasi sejak September 2022. Adapun perputaran uangnya mencapai Rp 685 miliar.
""Perputaran uang Rp 685.500.000.000, barang bukti antara lain sebanyak 17 unit HP, 3 unit laptop, 1 unit iPad, 3 unit token salah satu bank, 1 unit token bank dan telah diajukan pemblokiran 5 rekening, dan uang tunai Rp 6.055.000.000,"" kata Himawan.

Simak Video: Polisi Sebut Benny Dapat Info Sosok T dari Orang yang Sudah Meninggal

[Gambas:Video 20detik]"
Ekonomi Kalang Kabut, Jokowi Sebut 19 Negara Proteksi Dagang	Herdi Alif Al Hikam - detikFinance	Rabu, 09 Okt 2024 11:21 WIB	"Presiden Joko Widodo (Jokowi) menyatakan banyak negara mulai melakukan proteksi dagang belakangan ini. Dia mencatat ada sekitar 19 negara yang melakukan restriksi perdagangan.
Mulanya Jokowi memaparkan kondisi ekonomi global yang cenderung masih memperlihatkan indikator yang suram. Dia menyebut ekonomi global belum pulih sepenuhnya dari berbagai ketidakpastian.
Pertumbuhan ekonomi global, dipaparkan Jokowi, masih tumbuh dengan lambat di kisaran 2,6-2,7%. Di sisi lain, inflasi juga masih tinggi dan menghantui banyak negara.
""Inflasi juga masih menghantui banyak negara. Perkiraan inflasi global dikisaran 5,9%,"" papar Jokowi dalam sambutannya pada Indonesia Trade Expo 2024, di ICE BSD, Rabu (9/10/2024).
Masalah masih menumpuk, Jokowi menjelaskan ancaman perang baik yang bentuknya fisik maupun perang dagang masih menghantui ekonomi dunia.
Kondisi ekonomi yang kalang kabut ini disebut Jokowi membuat banyak negara mulai melakukan kebijakan proteksi dagang. Alhasil, perdagangan di kancah global pun jadi lesu.
""Masalah ini membuat negara-negara terus membuat kebijakan restriksi perdagangan. Saat ini setidaknya ada 19 negara yang melakukannya, semua itu membuat volume perdagangan global menjadi lesu,"" ungkap Jokowi.
Eks Gubernur DKI Jakarta itu melanjutkan masih ada satu lagi masalah yang menghantui perdagangan internasional. Hal itu adalah produksi industri China yang berlebih. Banyak negara mulai khawatir produk China yang murah membanjiri pasar lokalnya.
""Di sisi lain, juga sudah banyak dibahas secara luas soal over produksi di China, banyak negara sudah mulai khawatir dan bersiap melindungi pasar domestiknya dari masuknya produk import dari China yang masif dengan harga yang jauh lebih murah,"" jelas Jokowi.
Simak: Video Jokowi Respons Deflasi 5 Bulan Berturut-turut
[Gambas:Video 20detik]"
Bupati Harap 3 Pembangunan Jokowi di Klaten Bisa Sejahterakan Warga	Muhammad Iqbal Al Fardi - detikJateng	Selasa, 08 Okt 2024 15:52 WIB	"Bupati Klaten Sri Mulyani menyebutkan ada tiga pembangunan mulai dari Pasar Gede hingga Jembatan Gantung Girpasang yang dilakukan pemerintah pusat pada masa Presiden Joko Widodo atau Jokowi. Adanya tiga pembangunan itu, Sri Mulyani berharap bisa menyejahterakan masyarakat.
Hal itu diungkapkan Sri Mulyani saat memberikan pidato sambutan di acara Sambang Warga di Desa Jetis, Kecamatan Delanggu, Selasa (8/10/2024). Dia berterima kasih kepada Jokowi atas pembangunan Pasar Gede, Jembatan Girpasang dan perwajahan baru Stasiun Klaten.
""Kita berterima kasih kepada Bapak Presiden Ir. Joko Widodo, alhamdulillah Kabupaten Klaten dibangunkan Pasar Gede, Jembatan Girpasang, dan sebentar lagi akan kita resmikan wajah Stasiun Klaten,"" kata Sri Mulyani.
Diketahui, Jembatan Gantung Girpasang berada di Desa Tegalmulyo, Kecamatan Kemalang. Adapun Pasar Gede berlokasi di Kelurahan Kabupaten, Kecamatan Klaten Tengah.
Dia menilai pembangunan sarana dan prasarana tersebut merupakan wujud kepedulian Jokowi kepada Klaten. Sri Mulyani mengatakan pihaknya juga memanfaatkan pembangunan tersebut.
""Luar biasa, Pak Presiden memberikan pengertian kepada kami pemerintah daerah. Dengan beberapa sarana dan prasarana yang dibangun, kami manfaatkan,"" ucapnya.
Saat ini, pembangunan wajah baru Stasiun Klaten masih berlangsung. Sri Mulyani mengatakan, perwajahan stasiun tersebut berkat permintaannya kepada Jokowi dan KAI.
""Berkat permohonan saya langsung kepada pak Presiden, KAI, stasiun Klaten sudah direnovasi,"" katanya.
Dia berharap, Jokowi bisa meresmikan langsung wajah baru Stasiun Klaten sebelum masa jabatannya sebagai Presiden berakhir. Jika tidak memungkinkan, Sri Mulyani berharap Stasiun Klaten bisa diresmikan langsung oleh Presiden Terpilih, Prabowo Subianto.
""Semoga sebelum akhir masa jabatan, Bapak Presiden nanti meresmikan (wajah baru Stasiun Klaten). Kalau tidak, semoga nanti diresmikan oleh Bapak Presiden yang baru atau terpilih,"" ucapnya."
Siap-siap Pulang Kampung, Jokowi Akan Bawa Koleksi Kambing ke Solo	Rizky Adha Mahendra - detikJateng	Jumat, 11 Okt 2024 16:03 WIB	"Presiden Joko Widodo (Jokowi) berencana pulang ke Solo usai pelantikan presiden dan wakil presiden terpilih, Prabowo Subianto dan Gibran Rakabuming Raka. Jokowi mengatakan 70 persen barangnya sudah dibawa ke Solo.
""Sudah 70 persen barang-barang sudah dibawa dengan boks ke Solo,"" kata Jokowi, kepada wartawan di Ibu Kota Nusantara (IKN), Jumat (11/10/2024), dilansir dari detikNews.
Dia juga mengaku akan membawa koleksi kambingnya ke Solo. Rencananya, hal itu akan dilakukan segera.
""Kambingnya belum, tapi segera juga. Kambingnya 5 jadi 43,"" tuturnya.
Seperti diketahui Prabowo dan Gibran akan dilantik pada 20 Oktober tahun ini. Jokowi dipastikan akan hadir pada acara tersebut.
Jokowi juga sempat ditanya terkait kegiatannya usai menghadiri acara pelantikan itu. Dia menyebut akan pulang ke Solo.
""Tanggal 20 Oktober sore saya pulang ke Solo,"" kata Jokowi setelah menghadiri BNI Investor Daily, JCC, Senayan, Jakarta, Selasa (8/10).
Jokowi tak menjelaskan apa kegiatannya yang akan dilakukan sesuai pelantikan presiden. Dia berkelakar akan tidur.
""Pulang ke Solo dulu, tidur,"" ujarnya."
Kopi, Kakao, hingga Lada Mau Dihilirisasi, Jokowi Mau Larang Ekspor?	Herdi Alif Al Hikam - detikFinance	Selasa, 08 Okt 2024 14:10 WIB	"Presiden Joko Widodo (Jokowi) ingin agar komoditas pertanian dan perkebunan di Indonesia ikut dihilirisasi. Dia menilai seharusnya komoditas-komoditas macam kopi, kakao, lada, hingga nilam jangan sampai diekspor dalam bentuk mentahan terus.
Nilai tambah harus dibuat di dalam negeri pada komoditas tersebut. Seharusnya, Jokowi menilai ada proses lebih lanjut untuk komoditas-komoditas tersebut baru diekspor, sehingga nilai jualnya bertambah.
""Yang berkaitan dengan pertanian, kelautan, pangan semuanya harus didorong agar nilai tambah itu terjadi. Kopi itu jangan di ekspor mentahan raw material, kakao juga jangan diekspor raw material, lada jangan diekspor raw material, nilam jangan diekspor raw material,"" beber Jokowi dalam BNI Investor Daily Summit 2024, di JCC Senayan, Jakarta Pusat, Selasa (8/10/2024).
Eks Gubernur DKI Jakarta itu memaparkan Indonesia memiliki kebun kopi seluas 1,2 juta hektare, kakao 1,4 juta hektare, lada 172 ribu hektare, hingga nilam seluas 12 ribu hektare.
Menurutnya, lahan perkebunan itu harus dikembangkan, diremajakan, dan diperluas. Sejalan dengan itu, industrinya yang ada juga dikembangkan. Komoditas-komoditas tadi bisa dijadikan produk makanan, kosmetik, minuman, dan lai-lain.
Meski meminta kakao cs tidak diekspor mentah, Jokowi sendiri tak mengatakan akan melarang ekspor komoditas tersebut. Namun menurutnya perlu ada sedikit dorongan agar komoditas itu bisa berkurang ekspor dengan bentuk bahan mentahnya.
""Memang harus ada sedikit dipaksakan dan jangan dibiarkan. Dipaksa, berhenti ya berhenti, dengan segala risikonya,"" beber Jokowi.

Lihat juga Video 'Jokowi Ingatkan Pentingnya Belanja Produk Lokal Imbas Penurunan PMI':

[Gambas:Video 20detik]"
Terungkap! Ini Rencana Penerbangan Jokowi ke Solo Usai Lengser 20 Oktober	Herdi Alif Al Hikam - detikFinance	Selasa, 15 Okt 2024 08:30 WIB	"Presiden Joko Widodo (Jokowi) berencana naik pesawat komersial untuk kembali ke Solo, Jawa Tengah usai purnatugas pada 20 Oktober 2024. Pada hari yang sama saat Prabowo Subianto dan Gibran Rakabuming Raka dilantik jadi presiden dan wakil presiden, Jokowi akan langsung ke Solo setelah rangkaian pelantikan dan serah terima jabatan selesai.
Rencananya, Jokowi terbang ke Solo dari Bandara Halim Perdanakusuma, Jakarta Timur pada sore hari tanggal 20 Oktober 2024. Kabar ini diungkapkan oleh Menteri Komunikasi dan Informatika Budi Arie Setiadi, diketahui sosok Budi cukup dekat dengan Jokowi karena dia merupakan Ketua Umum Relawan Projo.
""Naik pesawat dari Halim, jam 15.00 WIB tanggal 20 Oktober 2024,"" ungkap Budi Arie ketika dikonfirmasi detikcom, Senin (14/10/2024).
Ketika ditanya, maskapai apa yang mau akan digunakan Jokowi, Budi Arie mengatakan rencananya Jokowi naik Citilink ke Solo. ""Citilink ya,"" ujarnya singkat.
Sejauh ini dari pantauan detikcom melalui online travel agent, maupun situs resmi Citilink, tidak ada jadwal penerbangan yang disebut Budi Arie pada tanggal 20 Oktober 2024.
Ketika ditanya kemungkinan apakah Jokowi akan melakukan charter pesawat, Budi Arie mengelak. ""Nanti umum,"" katanya singkat.
detikcom juga sudah mencoba melakukan konfirmasi ke maskapai Citilink soal kabar akan digunakan Jokowi ke Solo, namun belum mendapatkan jawaban.
Sementara itu, Direktur Utama Garuda Indonesia Irfan Setiaputra mengaku sampai sekarang belum tahu soal rencana Jokowi akan menggunakan Citilink untuk mudik ke Solo. Garuda Indonesia sendiri adalah induk usaha Citilink.
""Nggak ada info tuh,"" kata Irfan singkat ketika dikonfirmasi langsung detikcom.
Sebelumnya, Menteri Sekretaris Negara (Mensetneg) Pratikno pernah mengatakan ada rencana Jokowi untuk menggunakan penerbangan komersial seperti masyarakat umum saat kembali ke Solo, Jawa Tengah, ketika sudah purnatugas. Menurutnya, kepulangan Jokowi dengan penerbangan komersial sudah disiapkan pihaknya.
Sayangnya, kala itu Pratikno enggan mengelaborasi pesawat apa yang bakal digunakan Jokowi termasuk apakah Jokowi akan naik kelas bisnis atau ekonomi. Yang jelas, Jokowi akan pulang kampung tanpa fasilitas negara usai purna tugas.
""Nanti kita atur, jadi pokoknya komersial juga sudah siap,"" ujar Pratikno saat berbincang dengan wartawan di kompleks Istana Kepresidenan, Jakarta Pusat, Selasa (8/10/2024).

Simak Video Pernyataan Jokowi: Tanggal 20 Oktober Sore Saya Pulang ke Solo, Tidur

[Gambas:Video 20detik]"
Jokowi Jelaskan Penyataan 'Ditinggal Ramai-ramai'	20Detik - detikBali	Jumat, 30 Agu 2024 13:00 WIB	
Ini Usulan Twin Cities Jakarta-IKN, Mau Disampaikan ke Jokowi & Prabowo	Ilyas Fadilah - detikFinance	Sabtu, 12 Okt 2024 13:54 WIB	"Pembangunan Ibu Kota Nusantara (IKN) diusulkan mengusung konsep Twin Cities, dengan tetap melibatkan Jakarta. Menurut Mantan Kepala Otorita IKN (OIKN) Bambang Susantono, usulan tersebut datang dari Asosiasi Sekolah Perencanaan Indonesia (ASPI).
""Twin Cities. Itulah konsep yang diusulkan Asosiasi Sekolah Perencanaan Indonesia (@aspi.indonesia) terkait pembangunan IKN ke depannya, dan ""dititipkan"" pada saya untuk dapat disampaikan ke pemerintah,"" kata Bambang di Instagramnya @bambangsusantono, Sabtu (12/10/2024).
Bambang, yang saat ini bertugas sebagai Utusan Khusus Presiden untuk Kerja Sama Internasional Pembangunan IKN mengatakan, ASPI sebelumnya telah melakukan beberapa tahap kajian mendalam bersama para anggotanya. Kemudian terdapat 4 usulan agar pembangunan IKN sesuai dengan visi dan misi awal.
""Lalu mengusulkan 4 skenario pembangunan IKN Semuanya bertujuan agar proses pembangunan IKN dapat diarahkan kembali agar ""on the track"" sesuai dengan visi dan misi awalnya,"" tulis Bambang.
Melalui konsep Twin Cities, ASPI mengusulkan agar Jakarta dan IKN dapat berbagi fungsi dalam jangka pendek ini. Sesuai dengan skenario yang diusulkan, salah satu kota dapat berperan sebagai ibu kota secara legal (de jure), sedangkan kota lainnya menjalankan kegiatan administrasi pemerintahan nasional (de facto).
""Dan masing-masing kota didesain untuk melaksanakan fungsi utama tertentu. ASPI berharap pendekatan strategis ini diharapkan dapat membantu mengelola tahap transisi saat ini dengan lebih efektif, dengan memanfaatkan kekuatan masing-masing kota. Saya berterima kasih pada ASPI atas masukannya,"" ujarnya.
Menurut Bambang, sebagai organisasi akademik beranggotakan 100 program perencanaan wilayah dan kota di 74 universitas dari Sabang sampai Merauke, ASPI memiliki kualifikasi dan kemampuan untuk bermusyawarah secara aktif dalam pembangunan ibkota bersama ini.
""InsyaAllah pesan ini akan saya sampaikan pada pemerintah saat ini dan yang mendatang, sebagai wujud kerja sama untuk melahirkan sebuah ibu kota berkelanjutan bagi rakyat,"" tutupnya.

Simak Video: Detik-detik Peresmian Istana Negara di IKN oleh Jokowi

[Gambas:Video 20detik]"
Stafsus Milenial: Foto Bersama di Akhir Jabatan Jokowi Simbol Transisi Damai	Eva Safitri - detikNews	Kamis, 10 Okt 2024 14:05 WIB	"Staf Khusus (Stafsus) Milenial Presiden, Angkie Yudistia, mengungkap kesan selama 5 tahun berada di lingkup Presiden Joko Widodo (Jokowi). Ia mengaku mendapat pengalaman yang luar biasa dan tak ternilai.
""Foto bersama di akhir masa jabatan tadi sangat berkesan. Flashback ke tanggal 21 November 2019 lalu, saya dikenalkan Pak Presiden Joko Widodo sebagai Staf Khusus Presiden dari kalangan milenial. Selama 5 tahun ini saya banyak mendapatkan pengalaman yang luar biasa, tak ternilai harganya,"" kata Angkie kepada wartawan, Kamis (10/10/2024).
Angkie terharu atas momen Jokowi dan Ibu Negara Iriana yang menyempatkan waktu berfoto bersama pegawai di lingkungan Istana menjelang purnatugas. Ia menilai foto bersama itu menunjukkan sebuah akhir yang damai di ujung kepemimpinan Jokowi.
""Moment foto terakhir bersama presiden dan ibu negara dipenuhi dengan suasana emosional dan penuh penghormatan. Pengambilan foto yang singkat, namun ada rasa haru karena waktu pengabdian telah selesai. Terasa antara rasa syukur dan kebanggaan atas kontribusi selama masa jabatan periode 2019-2024. Foto ini menjadi simbol transisi yang memperlihatkan sebuah akhir yang damai dari perjalanan pemimpin nasional,"" ujarnya.
""Foto bersama ini merupakan momen yang tidak terlupakan, saya juga bangga karena bisa mengabadikan foto bersama para teman-teman wartawan Istana Kepresidenan, yang selama ini mengawal pemberitaan yang aktual dan akurat. Serta Bapak Presiden dan Ibu Negara juga memberikan kesempatan mengabadikan foto bersama seluruh pegawai yang berada di ruang lingkup Istana Kepresidenan, Jakarta.
Angkie mengucapkan terima kasih kepada Jokowi karena sudah diberi kesempatan 5 tahun berada di lingkup Jokowi. Ia optimistis akan selalu menjaga amanah dan arahan yang diberikan Jokowi.
""Saya ucapkan terima kasih kepada Bapak Presiden Joko Widodo, 5 tahun ini saya diberi kesempatan yang membuat saya terus tumbuh. Terima kasih juga untuk arahan langkah selanjutnya, insyaallah saya selalu menjaga amanah dan arahan Bapak Presiden,"" ujarnya.
Diketahui, masa jabatan Jokowi sebagai presiden tinggal 10 hari lagi. Masa kepemimpinan Jokowi-Ma'ruf Amin akan dilanjutkan Prabowo Subianto dan Gibran Rakabuming sebagai pemenang Pemilu 2024.
Pelantikan keduanya akan digelar pada 20 Oktober mendatang di gedung DPR. Usai pelantikan, akan ada acara pisah-sambut Jokowi dan Prabowo di Istana Merdeka."
